ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
10,37,12/8/2018,00:32:00,12/8/2018,06:34:00,362
10,38,12/8/2018,21:24:00,12/9/2018,06:17:00,533
10,39,12/9/2018,21:04:00,12/10/2018,05:59:00,535
10,40,12/11/2018,00:44:00,12/11/2018,06:39:00,355
10,41,12/11/2018,22:26:00,12/12/2018,07:10:00,524
10,42,12/13/2018,21:24:00,12/14/2018,06:47:00,563
15,1,10/16/2018,23:29:00,10/17/2018,08:27:00,538
15,2,10/17/2018,22:50:00,10/18/2018,06:36:00,466
15,3,10/18/2018,22:52:00,10/19/2018,09:41:00,649
15,4,10/19/2018,22:36:00,10/20/2018,07:53:00,557
15,5,10/20/2018,22:39:00,10/21/2018,08:16:00,577
15,6,10/21/2018,22:56:00,10/22/2018,08:09:00,553
15,7,10/22/2018,23:43:00,10/23/2018,09:32:00,589
15,8,10/23/2018,22:08:00,10/24/2018,08:41:00,633
15,9,10/24/2018,22:45:00,10/25/2018,07:55:00,550
15,10,10/25/2018,22:43:00,10/26/2018,08:33:00,590
15,11,10/26/2018,22:49:00,10/27/2018,06:45:00,476
15,12,10/27/2018,22:32:00,10/28/2018,07:40:00,548
15,13,10/28/2018,22:36:00,10/29/2018,07:06:00,510
15,14,10/30/2018,22:37:00,10/31/2018,06:19:00,462
15,15,10/31/2018,22:40:00,11/1/2018,07:31:00,531
15,16,11/1/2018,23:36:00,11/2/2018,08:59:00,563
15,17,11/2/2018,22:34:00,11/3/2018,06:09:00,455
15,18,11/3/2018,23:04:00,11/4/2018,09:17:00,613
15,19,11/4/2018,22:52:00,11/5/2018,07:19:00,507
15,20,11/5/2018,23:32:00,11/6/2018,07:00:00,448
15,21,11/6/2018,22:40:00,11/7/2018,07:18:00,518
15,22,11/7/2018,22:04:00,11/8/2018,06:10:00,486
15,23,11/8/2018,22:21:00,11/9/2018,06:10:00,469
15,24,11/9/2018,22:01:00,11/10/2018,07:58:00,597
15,25,11/10/2018,23:21:00,11/11/2018,07:12:00,471
15,26,11/11/2018,23:33:00,11/12/2018,06:13:00,400
15,27,11/13/2018,23:17:00,11/14/2018,08:00:00,523
15,28,11/14/2018,21:55:00,11/15/2018,06:24:00,509
15,29,11/15/2018,23:22:00,11/16/2018,07:13:00,471
15,30,11/16/2018,22:40:00,11/17/2018,08:11:00,571
15,31,11/17/2018,22:29:00,11/18/2018,10:07:00,698
15,32,11/18/2018,23:19:00,11/19/2018,08:37:00,558
